LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,Total_crime
E01000108,0.13793103448275862,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.10344827586206896,0.06896551724137931,0.06896551724137931,0.13793103448275862,0.3448275862068966,29
E01000109,0.05263157894736842,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.21052631578947367,0.15789473684210525,19
E01000110,0.1,0.1,0.05,0.0,0.0,0.0,0.05,0.1,0.2,0.4,20
E01000111,0.125,0.225,0.0,0.0,0.0,0.075,0.025,0.1,0.15,0.3,40
E01000112,0.08333333333333333,0.05555555555555555,0.0,0.027777777777777776,0.0,0.1388888888888889,0.0,0.1111111111111111,0.2222222222222222,0.3611111111111111,36
E01000113,0.14705882352941177,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.0,0.14705882352941177,0.029411764705882353,0.11764705882352941,0.11764705882352941,0.29411764705882354,34
E01000114,0.0,0.08,0.04,0.0,0.04,0.04,0.0,0.12,0.32,0.36,25
E01000115,0.0,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.07142857142857142,0.0,0.21428571428571427,0.35714285714285715,14
E01000116,0.125,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.25,0.25,8
E01000117,0.037037037037037035,0.3333333333333333,0.037037037037037035,0.0,0.0,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.18518518518518517,0.2222222222222222,27
E01000118,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.18181818181818182,11
E01000119,0.058823529411764705,0.23529411764705882,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.058823529411764705,17
E01000120,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.125,0.0,0.4375,0.25,16
E01000121,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.25,12
E01000122,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.07142857142857142,14
E01000123,0.05,0.2,0.0,0.0,0.0,0.05,0.0,0.2,0.15,0.35,20
E01000124,0.061224489795918366,0.061224489795918366,0.0,0.02040816326530612,0.0,0.061224489795918366,0.02040816326530612,0.40816326530612246,0.20408163265306123,0.16326530612244897,49
E01000125,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.06666666666666667,0.05,0.03333333333333333,0.16666666666666666,0.43333333333333335,60
E01000126,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.2857142857142857,0.5,14
E01000127,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.36363636363636365,0.0,0.18181818181818182,11
E01000128,0.08,0.32,0.04,0.04,0.0,0.0,0.08,0.0,0.12,0.32,25
E01000129,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.0,0.0,0.047619047619047616,0.023809523809523808,0.14285714285714285,0.047619047619047616,0.5,42
E01000130,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.4,20
E01000131,0.19047619047619047,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.23809523809523808,0.14285714285714285,21
E01000132,0.13636363636363635,0.18181818181818182,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.09090909090909091,0.5,22
E01000133,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.14285714285714285,14
E01000134,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.625,8
